Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m]
Megaflex,Non-Local Authority,[0 - 300km],< 500V,Megaflex_Non-Local Authority_[0 - 300km]_< 500V,Me01N,689.901156,209.899332,114.611484,225.908412,155.874324,99.38031,0,0,0,0,19.740774,0
Megaflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Me02N,679.078116,205.716678,111.736614,221.489004,152.469576,96.73092,0,0,0,0,18.0384,0
Megaflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Me03N,657.567324,199.177758,108.185304,214.521672,147.599208,93.698214,0,0,0,0,17.553618,0
Megaflex,Non-Local Authority,[0 - 300km],> 132kV,Megaflex_Non-Local Authority_[0 - 300km]_> 132kV,Me04N,619.73178,187.700826,101.962056,202.221738,139.143708,88.286694,0,0,0,0,22.20978,0
Megaflex,Non-Local Authority,[301 - 600km],< 500V,Megaflex_Non-Local Authority_[301 - 600km]_< 500V,Me11N,695.515608,210.733608,114.419826,226.900524,156.223818,99.109734,0,0,0,0,19.876062,0
Megaflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Me12N,685.85379,207.745998,112.818918,223.766352,153.969018,97.677936,0,0,0,0,18.196236,0
Megaflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Me13N,664.027326,201.12816,109.18869,216.596088,149.076102,94.58886,0,0,0,0,17.688906,0
Megaflex,Non-Local Authority,[301 - 600km],> 132kV,Megaflex_Non-Local Authority_[301 - 600km]_> 132kV,Me14N,625.943754,189.651228,102.920346,204.160866,140.485314,89.109696,0,0,0,0,22.390164,0
Megaflex,Non-Local Authority,[601 - 900km],< 500V,Megaflex_Non-Local Authority_[601 - 900km]_< 500V,Me21N,702.449118,212.79675,115.524678,229.14405,157.734534,100.034202,0,0,0,0,20.112816,0
Megaflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Me22N,692.742204,209.888058,113.957592,225.976056,155.547378,98.670048,0,0,0,0,18.365346,0
Megaflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Me23N,670.814274,203.21385,110.327364,218.805792,150.631914,95.569698,0,0,0,0,17.790372,0
Megaflex,Non-Local Authority,[601 - 900km],> 132kV,Megaflex_Non-Local Authority_[601 - 900km]_> 132kV,Me24N,632.24592,191.48889,104.05902,206.224008,141.928386,90.067986,0,0,0,0,22.728384,0
Megaflex,Non-Local Authority,[> 900km],< 500V,Megaflex_Non-Local Authority_[> 900km]_< 500V,Me31N,709.517916,215.017728,116.697174,231.477768,159.290346,101.082684,0,0,0,0,20.23683,0
Megaflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Me32N,699.630618,211.917378,115.039896,228.18576,157.024272,99.639612,0,0,0,0,18.579552,0
Megaflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Me33N,677.533578,205.220622,111.432216,220.992948,152.108808,96.494166,0,0,0,0,17.959482,0
Megaflex,Non-Local Authority,[> 900km],> 132kV,Megaflex_Non-Local Authority_[> 900km]_> 132kV,Me34N,638.401524,193.473114,105.118776,208.377342,143.472924,91.060098,0,0,0,0,22.88622,0
Megaflex,Local Authority,[0 - 300km],< 500V,Megaflex_Local Authority_[0 - 300km]_< 500V,Me01Y,705.82446,214.780808,117.197696,231.066924,159.477032,101.646292,0,0,0,0,19.670244,0
Megaflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Megaflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Me02Y,694.69246,210.483856,114.32564,226.614124,155.95932,98.974612,0,0,0,0,17.944784,0
