Tariff,Tariff Category,Transmission Zone,Supply Voltage,Code,Matrix Code,High-Peak [c/kWh],High-Standard [c/kWh],High-Off Peak [c/kWh],Low-Peak [c/kWh],Low-Standard [c/kWh],Low-Off Peak [c/kWh],High Demand [c/kWh],Low Demand [c/kWh],High Demand [R/kVA/m],Low Demand [R/kVA/m],Transmission Network Charges [R/kVA/m],Network Access Charges [R/kVA/m],Generation Capacity Charge [R/kVA],Legacy Charge [c/kWh]
Megaflex,Non-Local Authority,[0 - 300km],< 500V,Megaflex_Non-Local Authority_[0 - 300km]_< 500V,Me01N,684.59,171.15,114.09,284.12,159.74,114.09,0,0,0,0,10.63,0,3.49,22.78
Megaflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Me02N,666.92,166.73,111.15,276.78,155.62,111.15,0,0,0,0,10.25,0,8.09,22.2
Megaflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Me03N,618.91,154.72,103.15,256.86,144.42,103.15,0,0,0,0,9.35,0,6.12,20.6
Megaflex,Non-Local Authority,[0 - 300km],> 132kV,Megaflex_Non-Local Authority_[0 - 300km]_> 132kV,Me04N,577.13,144.28,96.19,239.52,134.67,96.19,0,0,0,0,16.34,0,7.02,19.21
Megaflex,Non-Local Authority,[301 - 600km],< 500V,Megaflex_Non-Local Authority_[301 - 600km]_< 500V,Me11N,691.43,172.86,115.23,286.96,161.34,115.23,0,0,0,0,10.74,0,3.49,22.78
Megaflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Me12N,673.6,168.4,112.27,279.55,157.17,112.27,0,0,0,0,10.35,0,8.09,22.2
Megaflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Me13N,625.1,156.28,104.18,259.43,145.86,104.18,0,0,0,0,9.45,0,6.12,20.6
Megaflex,Non-Local Authority,[301 - 600km],> 132kV,Megaflex_Non-Local Authority_[301 - 600km]_> 132kV,Me14N,582.9,145.73,97.15,241.91,136.01,97.15,0,0,0,0,16.51,0,7.02,19.21
Megaflex,Non-Local Authority,[601 - 900km],< 500V,Megaflex_Non-Local Authority_[601 - 900km]_< 500V,Me21N,698.28,174.57,116.37,289.8,162.93,116.37,0,0,0,0,10.85,0,3.49,22.78
Megaflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Me22N,680.27,170.07,113.37,282.32,158.73,113.37,0,0,0,0,10.45,0,8.09,22.2
Megaflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Me23N,631.29,157.82,105.21,262,147.31,105.21,0,0,0,0,9.54,0,6.12,20.6
Megaflex,Non-Local Authority,[601 - 900km],> 132kV,Megaflex_Non-Local Authority_[601 - 900km]_> 132kV,Me24N,588.67,147.17,98.11,244.31,137.36,98.11,0,0,0,0,16.66,0,7.02,19.21
Megaflex,Non-Local Authority,[> 900km],< 500V,Megaflex_Non-Local Authority_[> 900km]_< 500V,Me31N,705.13,176.28,117.52,292.64,164.53,117.52,0,0,0,0,10.96,0,3.49,22.78
Megaflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Megaflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Me32N,686.94,171.74,114.49,285.09,160.28,114.49,0,0,0,0,10.55,0,8.09,22.2
Megaflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Megaflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Me33N,637.48,159.37,106.25,264.56,148.75,106.25,0,0,0,0,9.63,0,6.12,20.6
Megaflex,Non-Local Authority,[> 900km],> 132kV,Megaflex_Non-Local Authority_[> 900km]_> 132kV,Me34N,594.44,148.61,99.06,246.7,138.7,99.06,0,0,0,0,16.83,0,7.02,19.21
Municflex,Local Authority,[0 - 300km],< 500V,Municflex_Local Authority_[0 - 300km]_< 500V,Mf01Y,697.46,174.34,116.26,289.5,162.75,116.31,0,0,0,0,10.85,0,3.33,23.22
Municflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Municflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Mf02Y,677.39,169.34,112.9,281.12,158.05,112.9,0,0,0,0,10.41,0,7.71,22.55
Municflex,Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Municflex_Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Mf03Y,628.57,157.14,104.75,260.87,146.68,104.75,0,0,0,0,9.5,0,6.46,20.93
Municflex,Local Authority,[0 - 300km],> 132kV,Municflex_Local Authority_[0 - 300km]_> 132kV,Mf04Y,586.13,146.54,97.69,243.26,136.77,97.69,0,0,0,0,16.59,0,7.14,19.51
Municflex,Local Authority,[301 - 600km],< 500V,Municflex_Local Authority_[301 - 600km]_< 500V,Mf11Y,706.96,176.75,117.84,293.41,164.98,117.84,0,0,0,0,11.01,0,3.33,23.3
Municflex,Local Authority,[301 - 600km],≥ 500V & < 66kV,Municflex_Local Authority_[301 - 600km]_≥ 500V & < 66kV,Mf12Y,685.15,171.3,114.21,284.34,159.88,114.21,0,0,0,0,10.54,0,7.71,22.59
Municflex,Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Municflex_Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Mf13Y,634.86,158.72,105.81,263.47,148.14,105.81,0,0,0,0,9.6,0,6.46,20.93
Municflex,Local Authority,[301 - 600km],> 132kV,Municflex_Local Authority_[301 - 600km]_> 132kV,Mf14Y,592,148,98.66,245.68,138.14,98.66,0,0,0,0,16.76,0,7.14,19.51
Municflex,Local Authority,[601 - 900km],< 500V,Municflex_Local Authority_[601 - 900km]_< 500V,Mf21Y,713.61,178.39,118.96,296.2,166.52,118.97,0,0,0,0,11.13,0,3.33,23.29
Municflex,Local Authority,[601 - 900km],≥ 500V & < 66kV,Municflex_Local Authority_[601 - 900km]_≥ 500V & < 66kV,Mf22Y,692.19,173.06,115.39,287.28,161.51,115.39,0,0,0,0,10.65,0,7.71,22.59
Municflex,Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Municflex_Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Mf23Y,641.14,160.29,106.86,266.09,149.6,106.86,0,0,0,0,9.68,0,6.46,20.93
Municflex,Local Authority,[601 - 900km],> 132kV,Municflex_Local Authority_[601 - 900km]_> 132kV,Mf24Y,597.86,149.47,99.64,248.12,139.51,99.64,0,0,0,0,16.92,0,7.14,19.51
Municflex,Local Authority,[> 900km],< 500V,Municflex_Local Authority_[> 900km]_< 500V,Mf31Y,721.57,180.39,120.26,299.44,168.37,120.26,0,0,0,0,11.23,0,3.33,23.32
Municflex,Local Authority,[> 900km],≥ 500V & < 66kV,Municflex_Local Authority_[> 900km]_≥ 500V & < 66kV,Mf32Y,698.76,174.68,116.47,289.98,163.04,116.47,0,0,0,0,10.75,0,7.71,22.59
Municflex,Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Municflex_Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Mf33Y,647.43,161.86,107.9,268.68,151.07,107.9,0,0,0,0,9.79,0,6.46,20.93
Municflex,Local Authority,[> 900km],> 132kV,Municflex_Local Authority_[> 900km]_> 132kV,Mf34Y,603.72,150.94,100.61,250.55,140.86,100.61,0,0,0,0,17.1,0,7.14,19.51
Miniflex,Non-Local Authority,[0 - 300km],< 500V,Miniflex_Non-Local Authority_[0 - 300km]_< 500V,Mi01N,684.59,171.15,114.09,284.12,159.74,114.09,0,0,0,0,0,49.85,3.49,22.78
Miniflex,Non-Local Authority,[0 - 300km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[0 - 300km]_≥ 500V & < 66kV,Mi02N,666.92,166.73,111.15,276.78,155.62,111.15,0,0,0,0,0,46.22,8.09,22.2
Miniflex,Non-Local Authority,[0 - 300km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[0 - 300km]_≥ 66kV & ≤ 132kV,Mi03N,618.91,154.72,103.15,256.86,144.42,103.15,0,0,0,0,0,22.37,6.12,20.6
Miniflex,Non-Local Authority,[0 - 300km],> 132kV,Miniflex_Non-Local Authority_[0 - 300km]_> 132kV,Mi04N,577.13,144.28,96.19,239.52,134.67,96.19,0,0,0,0,0,16.34,7.02,19.21
Miniflex,Non-Local Authority,[301 - 600km],< 500V,Miniflex_Non-Local Authority_[301 - 600km]_< 500V,Mi11N,691.43,172.86,115.23,286.96,161.34,115.23,0,0,0,0,0,49.97,3.49,22.78
Miniflex,Non-Local Authority,[301 - 600km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[301 - 600km]_≥ 500V & < 66kV,Mi12N,673.6,168.4,112.27,279.55,157.17,112.27,0,0,0,0,0,46.32,8.09,22.2
Miniflex,Non-Local Authority,[301 - 600km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[301 - 600km]_≥ 66kV & ≤ 132kV,Mi13N,625.1,156.28,104.18,259.43,145.86,104.18,0,0,0,0,0,22.47,6.12,20.6
Miniflex,Non-Local Authority,[301 - 600km],> 132kV,Miniflex_Non-Local Authority_[301 - 600km]_> 132kV,Mi14N,582.9,145.73,97.15,241.91,136.01,97.15,0,0,0,0,0,16.51,7.02,19.21
Miniflex,Non-Local Authority,[601 - 900km],< 500V,Miniflex_Non-Local Authority_[601 - 900km]_< 500V,Mi21N,698.28,174.57,116.37,289.8,162.93,116.37,0,0,0,0,0,50.07,3.49,22.78
Miniflex,Non-Local Authority,[601 - 900km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[601 - 900km]_≥ 500V & < 66kV,Mi22N,680.27,170.07,113.37,282.32,158.73,113.37,0,0,0,0,0,46.43,8.09,22.2
Miniflex,Non-Local Authority,[601 - 900km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[601 - 900km]_≥ 66kV & ≤ 132kV,Mi23N,631.29,157.82,105.21,262,147.31,105.21,0,0,0,0,0,22.56,6.12,20.6
Miniflex,Non-Local Authority,[601 - 900km],> 132kV,Miniflex_Non-Local Authority_[601 - 900km]_> 132kV,Mi24N,588.67,147.17,98.11,244.31,137.36,98.11,0,0,0,0,0,16.66,7.02,19.21
Miniflex,Non-Local Authority,[> 900km],< 500V,Miniflex_Non-Local Authority_[> 900km]_< 500V,Mi31N,705.13,176.28,117.52,292.64,164.53,117.52,0,0,0,0,0,50.18,3.49,22.78
Miniflex,Non-Local Authority,[> 900km],≥ 500V & < 66kV,Miniflex_Non-Local Authority_[> 900km]_≥ 500V & < 66kV,Mi32N,686.94,171.74,114.49,285.09,160.28,114.49,0,0,0,0,0,46.53,8.09,22.2
Miniflex,Non-Local Authority,[> 900km],≥ 66kV & ≤ 132kV,Miniflex_Non-Local Authority_[> 900km]_≥ 66kV & ≤ 132kV,Mi33N,637.48,159.37,106.25,264.56,148.75,106.25,0,0,0,0,0,22.65,6.12,20.6
Miniflex,Non-Local Authority,[> 900km],> 132kV,Miniflex_Non-Local Authority_[> 900km]_> 132kV,Mi34N,594.44,148.61,99.06,246.7,138.7,99.06,0,0,0,0,0,16.83,7.02,19.21
Municflex,Local Authority,[0 - 300km],< 500V,Municflex_Local Authority_[0 - 300km]_< 500V,Mf01Y,697.46,174.34,116.26,289.5,162.75,116.31,0,0,0,0,10.85,0,3.33,23.22
Municflex,Local Authority,[0 - 300km],≥ 500V & < 66kV,Municflex_Local Authority_[0 - 300km]_≥ 500V & < 66kV,Mf02Y,677.39,169.34,112.9,281.12,158.05,112.9,0,0,0,0,10.41,0,7.71,22.55
