Tariff,Tariff Category,Code,Matrix Code,High-Peak,High-Standard,High-Off Peak,Low-Peak,Low-Standard,Low-Off Peak,Energy Charge Block 1 [c/kWh],Energy Charge Block 2 [c/kWh],Energy Charge [c/kWh],Ancillary Service Charge [c/kWh],Network Demand Charge [c/kWh],"Network demand charge, Ancillary service charge and retail [c/kWh]",Network Capacity Charge [R/POD/day],Service and Administration Charge [R/POD/day]
Businessrate 1,Non-Local Authority,Businessrate 1_Non-Local Authority,B101N,236.1903,236.1903,236.1903,236.1903,236.1903,236.1903,0,0,236.1903,0.90192,33.337218,0,47.880678,41.386854
Businessrate 2,Non-Local Authority,Businessrate 2_Non-Local Authority,B201N,236.1903,236.1903,236.1903,236.1903,236.1903,236.1903,0,0,236.1903,0.90192,33.337218,0,80.688018,41.386854
Businessrate 3,Non-Local Authority,Businessrate 3_Non-Local Authority,B301N,236.1903,236.1903,236.1903,236.1903,236.1903,236.1903,0,0,236.1903,0.90192,33.337218,0,139.391736,41.386854
Businessrate 4,Non-Local Authority,Businessrate 4_Non-Local Authority,B401N,635.639394,635.639394,635.639394,635.639394,635.639394,635.639394,0,0,635.639394,0.90192,33.337218,0,0,0
Homepower Bulk,Non-Local Authority,Homepower Bulk_Non-Local Authority,HB01N,363.462486,363.462486,363.462486,363.462486,363.462486,363.462486,0,0,363.462486,0,0,0,75.220128,0
Homepower 1,Non-Local Authority,Homepower 1_Non-Local Authority,H101N,0,0,0,0,0,0,276.821796,437.115528,0,0,0,0,11.860248,0
Homepower 2,Non-Local Authority,Homepower 2_Non-Local Authority,H201N,0,0,0,0,0,0,276.821796,426.21357,0,0,0,0,22.221054,0
Homepower 3,Non-Local Authority,Homepower 3_Non-Local Authority,H301N,0,0,0,0,0,0,276.821796,426.21357,0,0,0,0,45.873906,0
Homepower 4,Non-Local Authority,Homepower 4_Non-Local Authority,H401N,0,0,0,0,0,0,276.821796,445.165164,0,0,0,0,7.249182,0
Homelight 20A,Non-Local Authority,Homelight 20A_Non-Local Authority,HL2001N,0,0,0,0,0,0,214.521672,243.089988,0,0,0,0,0,0
