Component Type,Nominal Amperage (A),Poles,Interrupting Capacity (kA),Brandname,Description,Notes,Supplier,Updated,Unit Cost
Circuit Breaker,10,1,,,10A 1P,,Lear,10 June 2025,R65.00
Circuit Breaker,10,1,,,10A 1P,,CBI,30 May 2025,R146.00
Circuit Breaker,10,3,,,10A 3P,,ABB,10 February 2025,R113.33
Circuit Breaker,15,1,3,,15A 1P 3kA CB,,CBI,30 May 2025,R150.00
Circuit Breaker,16,1,,,16A 1P,,Lear,10 June 2025,R65.00
Circuit Breaker,20,1,,,20A 1P,,Lear,11 June 2025,R65.00
Circuit Breaker,20,1,,,20A 1P,,CBI,30 May 2025,R150.00
Circuit Breaker,25,1,,,25A 1P,,CBI,05 March 2025,R162.50
Circuit Breaker,30,1,,,30A 1P,,Schneider,05 March 2025,R163.00
Circuit Breaker,30,2,3,,30A 1P+N 3kA CB,,CBI,30 May 2025,R410.00
Circuit Breaker,30,3,,,30A 3P,,Vescotech,24 July 2024,R799.00
Circuit Breaker,32,1,,,32A 1P ,,Lear,10 June 2025,R65.00
Circuit Breaker,35,1,,,35A 1P ,,CBI,30 May 2025,R165.00
Circuit Breaker,40,1,3,,40A 1P 3kA ,,CBI,01 July 2024,R159.00
Circuit Breaker,40,1,6,,40A 1P 6kA,,ARB,01 August 2024,R109.96
Circuit Breaker,40,2,3,,40A 2P 3kA,,Schneider,14 May 2025,R85.00
Circuit Breaker,40,2,6,,40A 2P 6kA,,ARB,29 April 2024,R745.21
Circuit Breaker,40,2,15,,40A 2P 15kA,,,12 April 2024,R686.45
Circuit Breaker,40,3,,,40A 3P,,ARB,24 July 2024,R799.00
Circuit Breaker,40,3,3,,40A 3P 3kA,,ARB,07 October 2024,R81.00
Circuit Breaker,40,4,6,,40A 4P 6kA,,ARB,10 August 2024,R325.00
Circuit Breaker,50,1,,,50A 1P,,Schneider,08 January 2025,R45.00
Circuit Breaker,50,1,6,,50a 1P 6kA,,Hager - ARB,24 August 2024,R129.80
Circuit Breaker,50,2,,,50A 2P ,,CBI - Vescotech,21 August 2024,R485.00
Circuit Breaker,50,2,10,,50A 2P 10kA ,,,21 August 2024,R603.00
Circuit Breaker,50,3,3,,50A 3P 3kA,,Schneider,27 March 2025,R130.00
Circuit Breaker,50,3,6,,50A 3P 6kA,,,21 August 2024,R796.00
