Component Type,System Type,Brand Name,Number Of Phases,Power Rating (kVA),Number of Inputs,Max Input Current per Input (A),Number of MPPT,Max Input Current per MPPT (A),Max Isc per MPPT (A),Max DC Input Voltage per MPPT (V),Min Operating Voltage Range (V),Max Operating Voltage Range (V),Rated Input Voltage (V),Description,Notes,Supplier,Updated,Unit Cost
Inverter,Hybrid,Deye,3,50,,,,,,,,,,Deye 50KW Hybrid - 50kw 3P Hybrid Inverter,,ARB,28 May 2025,R74 000.00
Inverter,Grid?Tie,Fronius ECO,3,27,1,,1,12,,1000,250,850,,"ECO 27.0-3-S, 1 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R46 275.60
Inverter,Grid?Tie,Fronius PRIMO,1,5,4,,2,18,,1000,270,480,,"PRIMO 5.0-1, 2 MPPT, Web server & WLAN",,27250,17 June 2025,R21 732.90
Inverter,Grid?Tie,Fronius PRIMO,1,8.2,4,,2,18,,1000,270,480,,"PRIMO 8.2-1, 2 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R29 494.50
Inverter,Grid?Tie,Fronius SYMO,3,10,,,2,,,,200,800,,"SYMO 10.0-3-M, 2 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R37 009.70
Inverter,Grid?Tie,Fronius SYMO,3,15,,,2,,,,200,800,,"SYMO 15.0-3-M, 2 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R39 839.80
Inverter,Grid?Tie,Fronius SYMO,3,17.5,,,2,,,,200,800,,"SYMO 17.5-3-M, 2 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R42 457.10
Inverter,Grid?Tie,Fronius SYMO,3,20,,,2,,,,200,800,,"SYMO 20.0-3-M, 2 MPPT, Lite",,Innomatic Solar,17 June 2025,R41 785.10
Inverter,Grid?Tie,Fronius SYMO,3,20,,,2,,,,200,800,,"SYMO 20.0-3-M, 2 MPPT, Web server & WLAN",,Innomatic Solar,17 June 2025,R46 216.80
Inverter,Grid?Tie,Fronius Tauro,3,50,1,,1,87.5,,930,580,930,,Tauro ECO 50-3-P,,Innomatic Solar,17 June 2025,R114 163.70
Inverter,Grid?Tie,Fronius Tauro,3,100,1,,1,175,,930,580,930,,Tauro ECO 100-3-P,,,17 June 2025,R117 131.00
Inverter,Grid?Tie,Huawei,3,150,20,,10,30,,1100,200,1000,,Huawei SUN2000-150K-MG0 Inverter,,Menlo,08 January 2025,R95 933.38
Inverter,Grid?Tie,Huawei,3,115,20,,10,30,,1100,200,1000,,Huawei SUN2000-115KTL-M2 Inverter,,Menlo,31 October 2024,R73 173.67
Inverter,Grid?Tie,Huawei,3,100,20,,10,30,,1100,200,1000,,"Huawei SUN2000-100KTL-M2 Inverter, with AFCI",,Menlo,11 December 2024,R68 870.35
Inverter,Grid?Tie,Huawei,3,50,8,20,4,30,40,1100,200,1000,600,Huawei SUN2000-50KTL-M3 Inverter,,Menlo,15 April 2025,R45 683.00
Inverter,Grid?Tie,Huawei,3,40,4,,4,26,,1100,200,1000,,Huawei SUN2000-40KTL-M3 Inverter,,Menlo,11 December 2024,R41 622.00
Inverter,Grid?Tie,Huawei,3,36,4,,4,26,,1100,200,1000,,Huawei SUN2000-36KTL-M3 Inverter,,Menlo,11 December 2024,R37 065.17
Inverter,Grid?Tie,Huawei,3,30,4,,4,26,,1100,200,1000,,Huawei SUN2000-30KTL-M3 Inverter,,Menlo,11 December 2024,R35 168.30
Inverter,Grid?Tie,Huawei,3,25,2,,2,30,,1100,160,950,,Huawei SUN2000-25KTL-M5 Inverter,,Menlo,11 December 2024,R22 893.19
Inverter,Grid?Tie,Huawei,3,20,2,,2,30,,1100,160,950,,Huawei SUN2000-20KTL-M5 Inverter,,Menlo,11 December 2024,R22 239.10
Inverter,Grid?Tie,Huawei,3,15,2,,2,30,,1100,160,950,,Huawei SUN2000-15KTL-M5 Inverter,,19900,11 December 2024,R20 603.87
Inverter,Grid?Tie,Kehua,3,550,,,,,,,,,,Kehua Energy Storage Converter 500kW BCS500K-A-10Y,,IBC,22 May 2025,R1 086 059.31
Inverter,Grid?Tie,Kehua Tech,3,275,,,,,,,,,,Kehua Tech BCS250K-A-10Y,,IBC,22 May 2025,R708 313.60
Inverter,Grid?Tie,Sigenergy,3,125,12,,12,30,,1100,180,1000,,Sigen PV Inverter Grid-Tie 125kW 400V,,IBC,07 July 2025,R72 720.00
